epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8692073225975037,1.8067,22.2,0.806,0.061,1.8113,21.65,0.808,0.054
1,1.1946221888065338,3290.2731,9.83,0.5,0.022,3308.2583,9.81,0.5,0.022
2,0.7068191803991795,100.3535,14.8,0.582,0.094,101.4363,15.03,0.58,0.098
3,0.8312977813184261,340.4647,9.93,0.542,0.026,324.121,10.12,0.534,0.028
4,1.4416561089456081,1317.9461,12.95,0.512,0.071,1312.736,12.31,0.509,0.063
5,0.6889844536781311,18.9815,21.13,0.573,0.155,18.3214,20.56,0.56,0.15
6,0.5386507026851177,0.627,75.75,0.957,0.699,0.6916,76.64,0.953,0.706
7,0.48529103957116604,0.4478,82.47,0.978,0.786,0.4836,81.15,0.975,0.758
8,0.3559700893238187,1.2982,66.6,0.944,0.591,1.2976,65.89,0.946,0.572
9,0.25493780337274075,1.1539,66.21,0.942,0.622,1.1285,67.6,0.944,0.64
10,0.1957626175135374,1.5745,51.61,0.926,0.525,1.4816,53.43,0.929,0.539
11,0.19078743550926447,5.0623,37.2,0.83,0.3,5.0189,36.6,0.834,0.293
12,0.19044977519661188,0.4717,85.88,0.988,0.831,0.4746,85.98,0.989,0.83
13,0.15840887324884534,1.9403,56.77,0.943,0.547,1.9424,57.01,0.943,0.535
14,0.1782509465701878,2.8063,49.76,0.892,0.458,2.7966,49.07,0.898,0.436
15,0.14603140903636813,0.4421,85.59,0.989,0.809,0.4493,85.59,0.989,0.805
16,0.1320191784761846,0.1828,92.89,0.997,0.909,0.1852,93.07,0.997,0.915
17,0.12179682450369,0.4505,84.91,0.992,0.827,0.4461,85.51,0.992,0.834
18,0.10483124107122421,0.4671,87.63,0.99,0.781,0.4613,87.38,0.99,0.77
19,0.1025839033536613,0.4759,85.2,0.993,0.843,0.4479,86.76,0.992,0.86
20,0.08592566475272179,0.4271,85.78,0.995,0.846,0.3834,87.23,0.995,0.871
21,0.08244969754014164,0.184,94.26,0.998,0.939,0.1912,93.3,0.998,0.928
22,0.07775330683216453,0.1971,94.55,0.997,0.925,0.2419,93.15,0.996,0.9
23,0.06954451592173427,0.2662,92.5,0.997,0.922,0.272,91.12,0.996,0.902
24,0.08479897864162922,0.2278,94.26,0.996,0.928,0.2534,93.22,0.996,0.916
25,0.0730886427918449,0.5359,83.93,0.988,0.822,0.5476,84.35,0.99,0.833
26,0.08137725875712931,0.3432,88.22,0.997,0.895,0.3717,88.63,0.996,0.899
27,0.06150275655090809,0.2416,92.41,0.998,0.93,0.2242,93.15,0.998,0.934
28,0.06187287764623761,0.0888,97.37,0.999,0.968,0.0838,97.04,0.999,0.964
29,0.06234067655168474,0.0863,96.98,0.999,0.959,0.0862,96.73,0.999,0.953
30,0.05450647650286555,0.1182,96.2,0.999,0.951,0.1137,96.42,0.999,0.955
31,0.049415820045396686,0.0693,97.86,0.999,0.973,0.0764,97.9,0.999,0.972
32,0.04676608240697533,0.1041,96.79,0.999,0.96,0.1061,96.57,0.999,0.956
33,0.04512439464451745,0.0609,97.18,1.0,0.964,0.0624,98.29,0.999,0.978
34,0.037388350581750274,0.0848,97.18,0.999,0.965,0.0821,97.04,0.999,0.96
35,0.0354857943020761,0.0874,97.27,0.999,0.963,0.0878,96.81,0.999,0.954
36,0.03640039550373331,0.0657,97.86,1.0,0.975,0.0807,97.74,0.999,0.972
37,0.03496591170551255,0.0633,97.76,1.0,0.975,0.0732,97.74,0.999,0.974
38,0.03384747443487868,0.0616,97.86,1.0,0.975,0.0634,97.74,0.999,0.973
39,0.029289870406500995,0.0767,97.86,0.999,0.972,0.0743,97.66,0.999,0.97
40,0.028713054256513715,0.0522,97.96,1.0,0.974,0.0644,98.21,0.999,0.98
41,0.027623694972135127,0.0594,97.76,1.0,0.972,0.0584,98.36,1.0,0.979
42,0.028436120657715946,0.0634,98.05,1.0,0.976,0.0597,97.98,1.0,0.974
43,0.030689275823533535,0.0572,97.86,1.0,0.976,0.0618,98.21,0.999,0.977
44,0.028956160589586943,0.0519,97.76,1.0,0.972,0.0627,98.29,0.999,0.979
45,0.02714644296793267,0.0519,97.86,1.0,0.974,0.0585,98.29,0.999,0.978
46,0.030424366879742593,0.0532,98.25,1.0,0.979,0.0563,98.44,1.0,0.979
47,0.024645779631100595,0.0539,98.44,1.0,0.98,0.0562,98.29,1.0,0.978
48,0.030397021677345037,0.0538,98.05,1.0,0.977,0.0566,98.36,1.0,0.978
49,0.02682180400006473,0.0522,98.15,1.0,0.978,0.056,98.36,1.0,0.979
