epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3809560887953813,1.4133,25.0,0.508,0.1,1.4145,25.0,0.483,0.1
1,1.6582044924006742,13.2564,25.0,0.495,0.1,13.2071,25.0,0.5,0.1
2,1.4951176012263578,66.9548,25.0,0.49,0.1,66.6015,25.0,0.503,0.1
3,1.2468481133965885,32.2336,25.0,0.622,0.1,32.2699,25.0,0.616,0.1
4,1.134008880923776,3.933,32.14,0.694,0.239,3.8406,30.71,0.699,0.216
5,1.0036469101905823,4.5238,29.76,0.709,0.194,4.3642,32.14,0.714,0.223
6,0.9522473917287939,1.8986,36.51,0.724,0.318,1.7925,37.86,0.731,0.322
7,0.9686031727229848,1.2639,55.95,0.778,0.507,1.2244,51.43,0.772,0.471
8,0.8543863086139455,2.7361,39.68,0.747,0.345,2.6385,36.43,0.761,0.3
9,0.774014693849227,2.7238,38.89,0.773,0.321,2.5475,46.43,0.789,0.409
10,0.7503637285793529,1.5289,48.81,0.85,0.465,1.4775,48.93,0.849,0.459
11,0.6826547910185421,1.1473,51.98,0.869,0.494,1.1876,51.79,0.842,0.494
12,0.6828095106517568,1.6213,50.4,0.817,0.458,1.458,51.79,0.834,0.475
13,0.5817192968200234,0.7281,70.63,0.925,0.702,0.6627,70.36,0.93,0.689
14,0.5320462023510653,1.398,56.75,0.828,0.534,1.2651,63.21,0.857,0.62
15,0.575981962330201,2.8347,39.68,0.791,0.33,2.8665,38.21,0.799,0.308
16,0.523725828703712,1.0617,60.71,0.891,0.593,0.9461,63.93,0.898,0.637
17,0.48166247851708355,3.0791,42.86,0.76,0.362,2.9631,41.07,0.774,0.335
18,0.5145203383529887,0.7986,66.27,0.923,0.66,0.6975,72.14,0.924,0.721
19,0.4068790095693925,0.8182,71.43,0.917,0.712,0.7776,72.5,0.921,0.72
20,0.4003018789431628,0.9629,69.84,0.903,0.697,0.8158,72.86,0.917,0.724
21,0.37228869865922365,0.529,82.94,0.975,0.832,0.4355,83.21,0.973,0.834
22,0.35067861045108123,0.4577,85.32,0.971,0.854,0.3684,85.36,0.975,0.854
23,0.31612295613569374,0.9312,75.0,0.952,0.743,0.9294,69.29,0.945,0.672
24,0.26168394789976235,0.4331,87.7,0.973,0.879,0.3972,82.86,0.975,0.831
25,0.24601748761008768,0.4197,88.1,0.979,0.881,0.3622,85.71,0.976,0.858
26,0.21793742258759105,0.5517,84.13,0.976,0.843,0.4611,85.0,0.973,0.851
27,0.19664777377072504,0.4124,90.48,0.98,0.904,0.3585,85.71,0.986,0.856
28,0.15599085083779166,0.4328,86.11,0.986,0.864,0.3268,87.86,0.987,0.878
29,0.13576565726714976,0.4347,87.3,0.986,0.875,0.3323,86.07,0.987,0.865
30,0.13315186233204954,0.9615,81.75,0.959,0.817,0.9521,80.36,0.96,0.802
31,0.16686152579153285,0.5329,84.52,0.983,0.842,0.5185,78.93,0.976,0.779
32,0.10499860258663402,0.5081,87.3,0.981,0.873,0.3302,87.86,0.985,0.878
33,0.10517596694476464,0.5315,88.49,0.974,0.884,0.4208,87.14,0.979,0.871
34,0.08004583659417489,0.303,95.24,0.992,0.953,0.233,92.14,0.993,0.921
35,0.06153758111245492,0.3,94.05,0.991,0.941,0.2065,92.5,0.992,0.925
36,0.04402495142729843,0.255,95.63,0.994,0.957,0.163,93.93,0.995,0.939
37,0.05125828952912022,0.3316,93.65,0.99,0.937,0.3196,89.64,0.986,0.896
38,0.046196604695390255,0.2366,94.44,0.994,0.944,0.1123,95.71,0.998,0.957
39,0.027741473715971496,0.2573,94.84,0.993,0.949,0.096,96.79,0.998,0.968
40,0.02389835812808836,0.2302,96.03,0.994,0.96,0.1105,96.07,0.997,0.961
41,0.02097968735239085,0.237,96.03,0.994,0.961,0.1108,96.07,0.998,0.961
42,0.014195950537481728,0.2048,97.22,0.995,0.972,0.0841,96.79,0.998,0.968
43,0.01536216789527851,0.2089,96.83,0.994,0.968,0.084,97.14,0.998,0.971
44,0.01439772716120762,0.2102,96.43,0.994,0.964,0.0823,97.14,0.998,0.971
45,0.014091878472005619,0.2066,97.22,0.995,0.972,0.082,96.07,0.998,0.961
46,0.013021918725879753,0.2052,97.22,0.995,0.972,0.0861,96.43,0.998,0.964
47,0.014212487375035006,0.2045,97.22,0.995,0.972,0.0821,96.43,0.998,0.964
48,0.011441254714394318,0.206,97.22,0.995,0.972,0.0824,96.07,0.998,0.961
49,0.013064173871979994,0.2062,97.22,0.995,0.972,0.0804,96.79,0.998,0.968
