epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8327471017837524,1.688,48.3,0.801,0.252,1.6926,46.73,0.807,0.245
1,0.9368227645754814,178.6581,18.31,0.54,0.119,183.0332,18.77,0.533,0.124
2,0.938916590064764,7876.2587,9.83,0.5,0.022,7901.059,9.81,0.5,0.022
3,1.017705723643303,724.1356,9.83,0.467,0.022,716.3526,9.81,0.466,0.022
4,0.6884563472121954,78.1265,31.74,0.635,0.219,78.0476,29.6,0.629,0.208
5,0.44458574429154396,5.0815,54.82,0.759,0.335,5.0987,55.06,0.747,0.346
6,0.6068231221288443,1.1453,61.54,0.937,0.56,1.2453,60.44,0.938,0.558
7,0.5724770650267601,18.4872,30.19,0.601,0.191,18.6572,29.98,0.596,0.19
8,0.3873846083879471,0.5565,84.71,0.981,0.795,0.516,85.2,0.978,0.821
9,0.2866014214232564,0.2945,89.97,0.993,0.84,0.2935,90.5,0.993,0.852
10,0.252226903103292,0.4159,85.0,0.986,0.816,0.4181,86.14,0.985,0.83
11,0.21101953741163015,0.1586,93.77,0.997,0.91,0.1646,94.31,0.997,0.915
12,0.1950043337419629,0.1699,94.06,0.997,0.929,0.1702,94.31,0.997,0.93
13,0.17869598791003227,0.1979,92.79,0.997,0.921,0.1972,93.3,0.996,0.923
14,0.1547357882373035,0.1481,94.94,0.997,0.937,0.1549,94.47,0.997,0.929
15,0.12598434230312705,0.4884,81.3,0.995,0.839,0.4703,81.78,0.995,0.847
16,0.11064029252156615,0.1132,96.88,0.999,0.96,0.1147,96.18,0.998,0.947
17,0.1144938045181334,0.1021,96.79,0.999,0.958,0.107,96.88,0.998,0.96
18,0.09804665576666594,0.1082,96.49,0.999,0.952,0.1142,96.88,0.998,0.954
19,0.09961057151667774,0.1119,96.2,0.998,0.949,0.1175,96.11,0.998,0.949
20,0.09596581943333149,0.1858,92.79,0.997,0.906,0.1699,93.61,0.998,0.916
21,0.1050930495839566,0.2119,91.53,0.998,0.916,0.1977,92.45,0.998,0.93
22,0.10099712293595076,0.092,96.49,0.999,0.955,0.0886,97.2,0.999,0.966
23,0.08016154426150024,0.1018,96.2,0.999,0.948,0.0913,97.12,0.999,0.962
24,0.07538131158798933,0.0849,97.18,0.999,0.965,0.0806,97.43,0.999,0.969
25,0.07922439090907574,0.085,97.37,0.999,0.966,0.079,97.51,0.999,0.97
26,0.06968423957005143,0.1018,96.11,0.999,0.951,0.0995,97.27,0.998,0.965
27,0.0687342188321054,0.08,97.27,0.999,0.965,0.0723,97.9,0.999,0.975
28,0.07307419483549893,0.0863,96.98,0.999,0.962,0.0846,97.04,0.999,0.964
29,0.0654945761198178,0.1091,96.3,0.999,0.958,0.1004,96.73,0.999,0.962
30,0.05914278980344534,0.1105,95.72,0.999,0.95,0.1076,96.65,0.998,0.959
31,0.06293452775571495,0.0913,96.69,0.999,0.958,0.0889,97.12,0.999,0.965
32,0.0619544330984354,0.1026,96.79,0.999,0.963,0.0929,96.88,0.999,0.962
33,0.05593503580894321,0.0606,97.57,1.0,0.969,0.0608,98.21,0.999,0.979
34,0.048744833446107805,0.0642,97.96,0.999,0.975,0.0621,97.9,0.999,0.974
35,0.04500023287255317,0.0807,96.88,0.999,0.956,0.0866,97.27,0.999,0.966
36,0.04468379251193255,0.0677,97.66,1.0,0.969,0.0635,97.98,0.999,0.974
37,0.04017019993625581,0.0601,97.66,1.0,0.971,0.0567,98.6,0.999,0.983
38,0.03846700600115582,0.0839,97.37,0.999,0.967,0.0696,98.29,0.999,0.98
39,0.03717228281311691,0.0608,97.47,1.0,0.967,0.0587,97.98,0.999,0.975
40,0.032763496274128556,0.0573,97.76,1.0,0.971,0.0548,98.21,0.999,0.979
41,0.032304412801750004,0.0575,98.05,1.0,0.974,0.0536,98.36,0.999,0.98
42,0.03271441167453304,0.0602,97.86,1.0,0.971,0.0523,98.44,0.999,0.982
43,0.035301879164762795,0.0564,98.15,1.0,0.977,0.0523,98.44,0.999,0.982
44,0.03512982098618522,0.0558,98.15,1.0,0.976,0.0542,98.21,0.999,0.977
45,0.0322041324689053,0.0566,98.05,1.0,0.974,0.0535,98.13,0.999,0.978
46,0.03624474519165233,0.0563,98.15,1.0,0.974,0.0533,98.29,0.999,0.979
47,0.03041622054297477,0.0566,98.05,1.0,0.974,0.0541,98.21,0.999,0.978
48,0.031935740960761905,0.0569,98.05,1.0,0.974,0.053,98.21,0.999,0.978
49,0.03391441603889689,0.0561,98.05,1.0,0.974,0.0534,98.52,0.999,0.981
