epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.8681085109710693,1.7617,28.72,0.794,0.141,1.768,28.74,0.79,0.142
1,1.0017212182283401,1098.3829,11.39,0.492,0.05,1111.9072,11.53,0.491,0.052
2,1.2426021099090576,673.2316,18.01,0.514,0.12,679.1439,18.07,0.516,0.119
3,0.9269940815865993,411.7861,12.56,0.52,0.066,399.8447,13.16,0.522,0.074
4,0.6418682876974344,1.5549,66.7,0.93,0.62,1.4043,65.26,0.932,0.609
5,0.32107897382229567,2.3577,60.76,0.917,0.44,2.3733,59.5,0.917,0.426
6,0.26714146230369806,0.3049,89.48,0.986,0.817,0.3062,89.72,0.986,0.836
7,0.25137287843972445,2.2003,61.93,0.891,0.544,1.8602,62.62,0.905,0.555
8,0.19237230299040675,0.4189,86.17,0.992,0.797,0.3686,88.32,0.992,0.827
9,0.15865562530234456,0.8181,76.92,0.976,0.711,0.7537,77.49,0.98,0.721
10,0.1513058333657682,0.1637,94.55,0.997,0.927,0.1692,94.86,0.996,0.935
11,0.1370830819942057,0.1456,94.74,0.998,0.931,0.157,94.63,0.998,0.928
12,0.11401050770655274,0.1605,94.74,0.997,0.928,0.1908,94.0,0.996,0.922
13,0.1022368068806827,0.2182,92.21,0.994,0.899,0.1803,93.85,0.996,0.923
14,0.09716435382142663,0.1121,96.69,0.998,0.957,0.109,95.95,0.999,0.947
15,0.07376932958140969,0.1777,93.38,0.998,0.932,0.1606,94.55,0.998,0.945
16,0.07215960428584367,0.2048,93.38,0.997,0.908,0.208,93.3,0.997,0.906
17,0.07472229027189314,0.099,96.79,0.999,0.954,0.1123,96.73,0.998,0.957
18,0.05969594628550112,0.1579,94.64,0.998,0.943,0.1792,93.93,0.997,0.938
19,0.06240059912670404,0.1623,95.13,0.998,0.929,0.1277,95.48,0.999,0.931
20,0.06313456338830292,0.2276,93.18,0.997,0.921,0.2205,94.31,0.997,0.941
21,0.06869927432853729,0.1428,96.49,0.998,0.949,0.131,96.18,0.998,0.944
22,0.05315925960894674,0.1075,96.88,0.999,0.963,0.0738,97.35,0.999,0.969
23,0.049954933929257095,0.7749,81.3,0.982,0.791,0.8002,79.91,0.979,0.776
24,0.045370700710918754,0.2219,93.38,0.997,0.904,0.2355,92.91,0.997,0.892
25,0.04245976451784372,0.1022,97.08,0.998,0.96,0.091,97.27,0.999,0.964
26,0.0431242142803967,0.055,98.15,1.0,0.975,0.0516,98.36,0.999,0.981
27,0.04495424815104343,0.0645,97.96,1.0,0.973,0.062,98.13,0.999,0.976
28,0.03756562212947756,0.0748,97.37,0.999,0.969,0.0835,96.88,0.999,0.962
29,0.03313934669131413,0.1683,93.67,0.999,0.943,0.1743,94.16,0.998,0.945
30,0.02917046326911077,0.0576,98.44,1.0,0.981,0.046,98.6,1.0,0.982
31,0.03303507194505073,0.0463,98.44,1.0,0.98,0.0544,98.29,0.999,0.979
32,0.029117340745870024,0.0574,98.25,1.0,0.978,0.0603,97.9,1.0,0.973
33,0.029402363928966224,0.0399,98.73,1.0,0.985,0.0339,99.14,1.0,0.988
34,0.022941415867535397,0.0601,98.15,1.0,0.979,0.0664,97.74,0.999,0.974
35,0.02140223851893097,0.0545,98.25,1.0,0.977,0.0471,98.91,1.0,0.986
36,0.02433517831377685,0.05,98.15,1.0,0.976,0.0452,98.6,1.0,0.982
37,0.020953491068212315,0.04,98.44,1.0,0.981,0.0391,98.68,1.0,0.983
38,0.020096815656870604,0.0523,98.25,1.0,0.98,0.0407,98.75,1.0,0.984
39,0.018325802899198607,0.0469,98.05,1.0,0.975,0.0411,98.83,1.0,0.984
40,0.017392434761859477,0.0391,98.34,1.0,0.979,0.0396,98.99,1.0,0.987
41,0.016743215936003253,0.0406,98.54,1.0,0.982,0.0359,98.91,1.0,0.985
42,0.015165074059041217,0.042,98.54,1.0,0.982,0.0375,98.75,1.0,0.984
43,0.017410518281394616,0.0402,98.44,1.0,0.982,0.0373,98.75,1.0,0.984
44,0.017758009082172066,0.0339,98.93,1.0,0.987,0.0351,98.83,1.0,0.985
45,0.01661066332599148,0.0379,98.64,1.0,0.983,0.0362,98.83,1.0,0.984
46,0.02023920981446281,0.0358,98.64,1.0,0.983,0.0348,98.75,1.0,0.984
47,0.017799544759327546,0.0375,98.54,1.0,0.983,0.0356,98.91,1.0,0.985
48,0.01817183938692324,0.038,98.44,1.0,0.981,0.0357,98.91,1.0,0.986
49,0.017859279207186773,0.0365,98.64,1.0,0.983,0.0358,98.91,1.0,0.985
