epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.1998623103223822,1.4381,48.09,0.896,0.408,1.8431,46.29,0.819,0.336
1,0.43689037629780375,1.2187,70.73,0.96,0.688,2.6364,54.72,0.909,0.524
2,0.2493704438850444,1.1279,71.54,0.966,0.694,1.1188,74.31,0.899,0.613
3,0.1883358521967806,0.4698,85.92,0.99,0.858,1.0658,75.48,0.919,0.669
4,0.13670918764713416,0.2045,92.83,0.997,0.931,0.6694,83.82,0.948,0.784
5,0.12061479562179162,0.1631,94.63,0.998,0.947,0.4597,86.42,0.98,0.814
6,0.10021632292231138,0.4472,86.52,0.991,0.858,1.8736,68.38,0.918,0.607
7,0.09249952896147647,0.3027,90.76,0.996,0.909,0.8841,81.26,0.975,0.741
8,0.07874254314195511,0.1686,94.58,0.998,0.945,0.8204,79.08,0.965,0.743
9,0.07180705802735463,0.2405,92.09,0.998,0.913,0.8067,80.96,0.961,0.739
10,0.06373842111972285,0.6029,84.74,0.992,0.852,0.9259,82.66,0.979,0.756
11,0.06466537550438903,0.3246,91.41,0.995,0.915,1.0012,79.43,0.972,0.728
12,0.05920886929317187,0.2446,93.39,0.998,0.936,1.104,81.69,0.947,0.757
13,0.05070034301702908,0.1267,95.99,0.999,0.96,0.722,83.2,0.966,0.765
14,0.05038957186310308,0.2011,93.75,0.998,0.938,0.7243,80.79,0.969,0.766
15,0.04630715360591275,0.1934,93.77,0.998,0.937,0.5363,89.77,0.968,0.834
16,0.04248594153859389,0.1749,94.49,0.998,0.944,1.1528,76.37,0.948,0.722
17,0.03915959361967327,0.1159,96.48,0.999,0.965,0.5848,87.39,0.983,0.826
18,0.03944672642302396,0.0753,97.47,0.999,0.974,0.4759,88.85,0.983,0.831
19,0.0385700144978594,0.1273,95.96,0.999,0.958,0.7627,83.19,0.967,0.772
20,0.030539144998863607,0.1224,96.4,0.999,0.963,0.816,85.22,0.971,0.789
21,0.03035050793968168,0.1316,96.07,0.999,0.96,0.9946,81.83,0.963,0.754
22,0.030460475526723384,0.0843,97.21,0.999,0.972,0.653,85.43,0.975,0.806
23,0.023713507849763157,0.0609,98.0,1.0,0.98,0.675,86.3,0.97,0.81
24,0.023553617231841583,0.1043,97.04,0.999,0.97,0.8829,85.21,0.978,0.8
25,0.021174451588289178,0.1338,96.12,0.999,0.96,0.7234,88.08,0.966,0.821
26,0.018348313132000547,0.0562,98.42,1.0,0.984,0.6771,85.74,0.977,0.803
27,0.015947324003503526,0.0478,98.7,1.0,0.987,0.5975,87.99,0.978,0.829
28,0.01540784906983162,0.1953,95.26,0.999,0.952,0.9911,87.26,0.95,0.803
29,0.01205416997280439,0.0683,98.18,1.0,0.982,1.1949,84.75,0.948,0.787
30,0.011316883921836867,0.0514,98.55,1.0,0.986,0.7,88.41,0.975,0.829
31,0.008902853101118064,0.1105,97.24,0.999,0.972,0.8198,85.33,0.98,0.809
32,0.008571987480966634,0.0492,98.73,1.0,0.987,0.7152,88.79,0.972,0.836
33,0.005591997437806646,0.0614,98.43,1.0,0.984,0.8144,85.7,0.969,0.806
34,0.005632800525755331,0.0392,98.93,1.0,0.989,0.6029,88.46,0.982,0.83
35,0.0038357403489851184,0.0386,98.95,1.0,0.989,0.7456,87.76,0.973,0.824
36,0.0030261969634441917,0.0414,98.95,1.0,0.989,0.7454,88.19,0.975,0.828
37,0.0025517949016637914,0.0337,99.08,1.0,0.991,0.6918,87.83,0.979,0.83
38,0.0021336987851634888,0.0352,99.07,1.0,0.99,0.8357,87.15,0.971,0.828
39,0.0016126183018515614,0.031,99.16,1.0,0.991,0.716,87.76,0.977,0.829
40,0.0013692719714989798,0.0315,99.19,1.0,0.992,0.7179,87.73,0.978,0.829
41,0.0012498175822144983,0.0326,99.15,1.0,0.991,0.7333,88.29,0.976,0.833
42,0.0010459525126790274,0.0308,99.25,1.0,0.992,0.7492,87.39,0.977,0.824
43,0.0009476756677031517,0.0313,99.23,1.0,0.992,0.7463,87.75,0.977,0.83
44,0.0008897372341204075,0.0304,99.25,1.0,0.992,0.7485,87.78,0.977,0.83
45,0.0008263738114907536,0.0311,99.25,1.0,0.992,0.7728,87.16,0.977,0.824
46,0.0008702005583485822,0.0307,99.24,1.0,0.992,0.7487,87.64,0.978,0.828
47,0.0008361715202530225,0.0306,99.27,1.0,0.992,0.7385,87.57,0.977,0.827
48,0.0008780888405271329,0.0305,99.27,1.0,0.992,0.7651,87.07,0.977,0.824
49,0.0008979038181831546,0.0309,99.28,1.0,0.993,0.778,86.94,0.976,0.822
