epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2320150333493414,0.8608,67.79,0.942,0.667,1.0576,65.2,0.893,0.553
1,0.44264222932545516,0.2841,90.68,0.994,0.906,0.6891,77.19,0.964,0.735
2,0.24044629672415369,0.6014,79.56,0.988,0.78,0.6988,78.21,0.972,0.707
3,0.18826110797223225,0.2838,89.92,0.995,0.899,0.4345,84.51,0.985,0.806
4,0.14206020579436346,0.1867,93.7,0.997,0.938,0.5082,83.72,0.978,0.786
5,0.11557740069872376,0.1639,94.61,0.998,0.946,0.3485,86.8,0.987,0.829
6,0.10134005566598267,0.1252,95.86,0.998,0.959,0.3846,86.04,0.98,0.818
7,0.09153156518588998,0.135,95.54,0.999,0.954,0.5589,83.15,0.986,0.792
8,0.08104854473663915,0.103,96.45,0.999,0.965,0.4644,86.33,0.981,0.8
9,0.07529521072583814,0.1289,95.93,0.999,0.959,0.4982,83.64,0.985,0.792
10,0.06598627877064503,0.2583,92.58,0.998,0.926,0.5797,84.48,0.986,0.802
11,0.06555439439672296,0.0991,96.67,0.999,0.967,0.3997,87.89,0.983,0.847
12,0.05969234851379228,0.0741,97.6,0.999,0.976,0.4966,88.24,0.981,0.836
13,0.05268082880218076,0.1168,96.39,0.999,0.963,0.7274,82.81,0.973,0.804
14,0.050322800138664824,0.0684,97.72,1.0,0.977,0.7655,80.6,0.974,0.78
15,0.04705029484185,0.1033,96.82,0.999,0.967,0.6675,86.61,0.961,0.819
16,0.044209191353664495,0.1636,94.24,0.998,0.942,0.9975,77.74,0.951,0.73
17,0.04139743980327387,0.1607,95.3,0.999,0.953,0.5411,86.22,0.985,0.818
18,0.0384821339500367,0.0923,96.88,0.999,0.968,0.5237,85.08,0.982,0.791
19,0.038631489782470635,0.0812,97.38,0.999,0.974,0.4524,86.98,0.982,0.82
20,0.03338497166945783,0.0875,97.51,0.999,0.975,0.7741,86.9,0.968,0.831
21,0.03184406960209478,0.0596,98.06,1.0,0.98,0.6334,86.28,0.968,0.801
22,0.029956988502948086,0.1201,96.15,0.999,0.959,1.3639,68.91,0.967,0.681
23,0.024991902087124124,0.0463,98.51,1.0,0.985,0.389,89.3,0.988,0.847
24,0.024503745474121583,0.0544,98.34,1.0,0.983,0.4784,89.06,0.985,0.847
25,0.022474542834318666,0.0495,98.45,1.0,0.984,0.5697,87.13,0.975,0.817
26,0.01901955863854791,0.0499,98.57,1.0,0.986,0.6146,85.22,0.981,0.802
27,0.01812333210561705,0.0524,98.45,1.0,0.985,0.4616,89.19,0.985,0.845
28,0.013509032616932546,0.049,98.52,1.0,0.985,0.5293,89.17,0.98,0.84
29,0.013434689585453293,0.0356,98.88,1.0,0.989,0.5502,89.2,0.978,0.837
30,0.010684445343484374,0.0401,98.95,1.0,0.989,0.5104,89.72,0.985,0.857
31,0.010667656803683888,0.0481,98.59,1.0,0.986,0.4707,89.66,0.985,0.847
32,0.008008496306743138,0.0477,98.65,1.0,0.987,0.5236,89.64,0.982,0.844
33,0.006857923615897428,0.0389,99.04,1.0,0.99,0.5252,88.71,0.985,0.842
34,0.005655775218868234,0.033,99.09,1.0,0.991,0.4751,88.1,0.987,0.836
35,0.0039716932478637895,0.0327,99.16,1.0,0.992,0.6127,87.23,0.981,0.817
36,0.002729945078385346,0.0325,99.14,1.0,0.991,0.5434,88.92,0.984,0.841
37,0.002927354084641596,0.0345,99.07,1.0,0.991,0.5136,89.64,0.985,0.85
38,0.0027729389124206104,0.0319,99.15,1.0,0.991,0.5678,88.73,0.982,0.838
39,0.0017293446403544223,0.0306,99.14,1.0,0.991,0.5438,89.23,0.984,0.846
40,0.0017123594145727842,0.0304,99.18,1.0,0.992,0.5587,88.76,0.983,0.841
41,0.0012847743811599884,0.0302,99.18,1.0,0.992,0.5864,88.71,0.983,0.843
42,0.0014244249978479946,0.0301,99.19,1.0,0.992,0.541,89.01,0.984,0.844
43,0.0011809179843086282,0.0298,99.21,1.0,0.992,0.56,89.01,0.983,0.846
44,0.0009873953420922535,0.0293,99.23,1.0,0.992,0.5672,89.47,0.983,0.85
45,0.0009566122101866857,0.0298,99.23,1.0,0.992,0.5646,89.47,0.984,0.85
46,0.0009697961060190072,0.0295,99.23,1.0,0.992,0.5647,89.39,0.983,0.849
47,0.0009821475730494573,0.0295,99.22,1.0,0.992,0.5584,89.3,0.983,0.849
48,0.0009455089073454608,0.0293,99.25,1.0,0.992,0.5735,89.26,0.983,0.849
49,0.0010487104926298382,0.0294,99.22,1.0,0.992,0.582,89.04,0.983,0.846
