epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.2269804229873056,0.8614,67.6,0.944,0.667,1.0814,64.54,0.887,0.557
1,0.42434836940098836,0.6115,79.88,0.981,0.806,1.0422,68.01,0.948,0.656
2,0.24079265063595173,0.4713,85.08,0.987,0.85,0.7224,83.33,0.929,0.737
3,0.18447282862278722,0.547,83.57,0.99,0.833,1.5043,63.74,0.904,0.557
4,0.13036263189328615,0.237,92.12,0.996,0.922,0.9633,72.64,0.958,0.694
5,0.1115095537810129,0.2612,90.94,0.997,0.912,0.8146,77.08,0.959,0.707
6,0.09324360859169754,0.1919,93.65,0.998,0.936,0.4668,86.23,0.978,0.789
7,0.08150358293806353,0.4038,88.68,0.995,0.896,1.3774,74.63,0.945,0.674
8,0.07329939628907857,0.113,96.35,0.999,0.963,0.6533,84.72,0.974,0.777
9,0.0671100339194673,0.1246,95.82,0.999,0.958,0.7184,82.37,0.975,0.784
10,0.06112644645822732,0.1334,95.67,0.999,0.957,0.5844,87.15,0.971,0.807
11,0.05896221516874208,0.1006,96.85,0.999,0.968,0.5685,84.48,0.973,0.799
12,0.05301293595543792,0.075,97.48,0.999,0.974,0.5027,87.04,0.982,0.828
13,0.04865488894350533,0.0713,97.73,0.999,0.977,0.4775,88.63,0.982,0.842
14,0.04881875884408752,0.085,97.19,0.999,0.972,0.7681,85.02,0.952,0.805
15,0.04383987766493606,0.0776,97.42,0.999,0.974,0.5899,87.05,0.968,0.812
16,0.042355592753137314,0.1019,96.78,0.999,0.969,0.6342,85.95,0.966,0.807
17,0.0374323033116838,0.1555,95.3,0.999,0.954,0.655,85.82,0.981,0.808
18,0.03531944816665036,0.0754,97.69,1.0,0.977,0.7383,88.35,0.959,0.83
19,0.03531773676962248,0.077,97.63,0.999,0.976,0.5516,85.95,0.974,0.808
20,0.031209154763863184,0.0919,97.44,0.999,0.974,0.7952,82.65,0.97,0.757
21,0.02979540266096592,0.0599,98.09,1.0,0.98,0.6401,88.19,0.969,0.812
22,0.02784700919356611,0.0481,98.42,1.0,0.984,0.678,85.66,0.968,0.793
23,0.02210193023579629,0.0889,97.21,1.0,0.973,0.6707,84.83,0.97,0.789
24,0.023887147030402577,0.0738,97.69,1.0,0.976,0.5941,86.83,0.978,0.817
25,0.020468233341825157,0.0472,98.56,1.0,0.985,0.4833,89.64,0.982,0.849
26,0.019308105313075592,0.0847,97.6,1.0,0.975,0.8501,83.15,0.969,0.768
27,0.016378265071166246,0.0535,98.37,1.0,0.983,0.6008,87.01,0.978,0.815
28,0.014500076022987191,0.0414,98.78,1.0,0.988,1.1713,83.55,0.961,0.754
29,0.014774362359689982,0.0451,98.71,1.0,0.987,0.9106,84.69,0.966,0.775
30,0.011342932007819629,0.0423,98.83,1.0,0.988,1.3155,82.52,0.959,0.733
31,0.008707438053155991,0.0644,98.25,1.0,0.982,0.7243,87.29,0.976,0.816
32,0.009202503430653751,0.0315,99.04,1.0,0.99,0.5995,88.98,0.977,0.845
33,0.0059215156678577695,0.0342,98.89,1.0,0.989,0.7181,85.32,0.982,0.813
34,0.005613850508098855,0.0347,99.07,1.0,0.991,0.6647,87.16,0.981,0.815
35,0.004292788865265026,0.0318,99.06,1.0,0.99,0.7248,86.34,0.975,0.809
36,0.0030631997779439,0.0291,99.18,1.0,0.992,0.7055,86.64,0.976,0.811
37,0.0025858725938532087,0.0293,99.17,1.0,0.991,0.6055,87.84,0.98,0.827
38,0.0023701371421443306,0.029,99.15,1.0,0.991,0.6319,87.16,0.981,0.822
39,0.0016038737620317166,0.0291,99.18,1.0,0.992,0.5999,87.64,0.981,0.824
40,0.0014428874080513326,0.0286,99.22,1.0,0.992,0.6028,87.13,0.982,0.816
41,0.001368760832294982,0.0282,99.24,1.0,0.992,0.6028,87.61,0.981,0.826
42,0.0012015283047672241,0.0272,99.27,1.0,0.993,0.5951,87.69,0.982,0.826
43,0.0010183281866052458,0.0269,99.3,1.0,0.993,0.6096,87.54,0.981,0.824
44,0.000932251171652882,0.0273,99.28,1.0,0.993,0.5754,88.02,0.983,0.831
45,0.0008115399909275834,0.0276,99.3,1.0,0.993,0.5822,87.83,0.983,0.829
46,0.00096189238524939,0.0279,99.28,1.0,0.993,0.5688,88.03,0.983,0.83
47,0.000960031828065286,0.0276,99.27,1.0,0.993,0.5718,87.59,0.983,0.825
48,0.0009616598032922301,0.0274,99.27,1.0,0.993,0.5914,87.35,0.983,0.822
49,0.0008974368199973124,0.0276,99.28,1.0,0.993,0.5987,87.24,0.983,0.822
