epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.880466639995575,1.807,22.59,0.795,0.063,1.8106,22.12,0.798,0.059
1,0.9679126106202602,137.6313,17.82,0.476,0.122,136.9883,17.76,0.478,0.122
2,0.9205833859741688,2171.3318,10.13,0.497,0.028,2188.2154,10.05,0.497,0.027
3,0.45158245600759983,80.8909,23.17,0.49,0.119,83.2534,23.13,0.49,0.115
4,0.30863029696047306,8.4756,22.2,0.709,0.147,8.469,23.21,0.71,0.157
5,0.22694661654531956,2.3181,61.54,0.889,0.551,2.2083,62.07,0.891,0.554
6,0.19939721189439297,2.3998,42.75,0.909,0.407,2.3695,41.9,0.908,0.397
7,0.2125189690850675,0.2937,89.87,0.989,0.87,0.2939,89.64,0.99,0.864
8,0.15536445332691073,0.2112,93.87,0.996,0.92,0.213,93.85,0.996,0.917
9,0.1403558338060975,0.5451,86.08,0.987,0.802,0.5926,86.14,0.986,0.779
10,0.11212687543593347,0.2104,93.38,0.996,0.91,0.2051,94.0,0.997,0.91
11,0.10965745663270354,0.2088,92.99,0.996,0.903,0.2103,92.76,0.997,0.88
12,0.0992955225519836,0.6513,84.23,0.989,0.775,0.5505,85.12,0.99,0.794
13,0.08809967653360218,0.2638,89.58,0.998,0.897,0.2619,89.25,0.997,0.899
14,0.09710158314555883,0.2471,92.21,0.996,0.902,0.2211,93.38,0.996,0.917
15,0.07423611683771014,0.1121,96.69,0.999,0.956,0.1128,96.03,0.999,0.944
16,0.06651845388114452,0.2455,94.45,0.996,0.925,0.293,92.83,0.995,0.894
17,0.07163367373868823,1.2115,70.69,0.985,0.664,1.1888,71.11,0.985,0.675
18,0.07490220421459526,1.2849,74.49,0.981,0.656,1.3465,74.14,0.981,0.654
19,0.0770891688298434,0.2344,93.38,0.997,0.913,0.2425,92.83,0.997,0.907
20,0.05563618952874094,0.3603,86.66,0.998,0.875,0.3176,88.55,0.998,0.887
21,0.05224964616354555,0.1694,95.62,0.998,0.949,0.187,94.63,0.998,0.934
22,0.04967920377384871,0.0676,97.96,1.0,0.974,0.0663,97.82,1.0,0.973
23,0.04223075578920543,0.1997,92.11,0.999,0.922,0.1963,93.22,0.998,0.928
24,0.043849607929587364,0.1761,94.94,0.998,0.932,0.1939,94.55,0.997,0.926
25,0.04251674225088209,0.0846,97.27,0.999,0.967,0.0778,97.2,0.999,0.96
26,0.03969483252149075,0.0463,98.54,1.0,0.981,0.0582,97.98,1.0,0.97
27,0.03382390263141133,0.0513,98.34,1.0,0.978,0.0499,98.44,1.0,0.976
28,0.030636744922958314,0.0617,97.47,1.0,0.97,0.0706,97.43,1.0,0.968
29,0.03558654704829678,0.0693,97.76,1.0,0.972,0.0733,97.82,1.0,0.971
30,0.024602592282462865,0.0577,98.05,1.0,0.974,0.0485,98.68,1.0,0.981
31,0.021242174465442076,0.0486,98.25,1.0,0.978,0.0427,98.6,1.0,0.979
32,0.02043803356355056,0.051,98.73,1.0,0.985,0.0442,98.6,1.0,0.982
33,0.01998173608444631,0.0783,96.88,1.0,0.967,0.076,97.98,1.0,0.977
34,0.019175143272150308,0.0709,98.15,1.0,0.977,0.0559,98.21,1.0,0.976
35,0.016827609244501218,0.0492,98.34,1.0,0.979,0.0499,98.29,1.0,0.977
36,0.015428274782607332,0.0397,98.34,1.0,0.98,0.0468,98.44,1.0,0.98
37,0.014777818927541375,0.0445,98.54,1.0,0.983,0.0427,98.91,1.0,0.985
38,0.013396623049629852,0.0381,98.54,1.0,0.981,0.0369,98.91,1.0,0.984
39,0.011854330921778455,0.0436,98.15,1.0,0.977,0.0404,98.99,1.0,0.986
40,0.011702536838129163,0.0432,98.44,1.0,0.98,0.0382,99.14,1.0,0.987
41,0.010198107600444928,0.0401,98.34,1.0,0.979,0.0369,99.07,1.0,0.986
42,0.009394234599312767,0.0386,98.44,1.0,0.982,0.038,98.91,1.0,0.985
43,0.011846363049698994,0.0414,98.64,1.0,0.985,0.0378,98.91,1.0,0.985
44,0.01049634738592431,0.041,98.73,1.0,0.985,0.0379,98.83,1.0,0.983
45,0.010274184925947338,0.0395,98.64,1.0,0.985,0.0373,98.91,1.0,0.985
46,0.011890941561432555,0.04,98.64,1.0,0.985,0.0377,98.91,1.0,0.985
47,0.009366656566271558,0.0411,98.64,1.0,0.984,0.0385,98.99,1.0,0.986
48,0.011147970624733716,0.0405,98.44,1.0,0.981,0.0382,98.91,1.0,0.985
49,0.009088418300962076,0.04,98.64,1.0,0.984,0.0379,99.07,1.0,0.986
