epoch,train_loss,eval_loss,eval_top1,eval_auc,eval_f1,test_loss,test_top1,test_auc,test_f1
0,1.3360499283846687,1.3867,30.56,0.635,0.237,1.3898,27.86,0.584,0.223
1,1.3652112554101383,27.6862,25.0,0.568,0.1,26.9455,25.0,0.59,0.1
2,1.4614288245930391,29.9106,25.0,0.546,0.1,26.7107,25.36,0.566,0.107
3,1.2874502153957592,1.7356,31.35,0.677,0.22,1.7874,31.07,0.672,0.219
4,5.561958081582013,17817.1768,25.0,0.5,0.1,17558.3323,25.0,0.5,0.1
5,1.360351695733912,81.7294,24.6,0.514,0.122,76.2646,25.0,0.519,0.122
6,3.2358346826889934,159.0848,25.0,0.476,0.1,153.0572,25.0,0.485,0.1
7,1.323113721959731,1.3627,38.1,0.701,0.26,1.3849,36.79,0.699,0.252
8,1.2055531670065487,1.2209,43.25,0.725,0.436,1.2304,38.93,0.727,0.392
9,1.3958707697251265,1.2566,38.1,0.728,0.377,1.2887,36.79,0.724,0.36
10,1.1935351175420426,1.1689,47.22,0.74,0.44,1.1772,43.21,0.735,0.403
11,1.1553454679601334,1.2815,39.29,0.727,0.356,1.3043,36.43,0.721,0.323
12,1.256618387558881,1.3445,35.32,0.723,0.327,1.3725,36.43,0.722,0.341
13,1.1414016625460457,1.1441,45.24,0.754,0.41,1.1418,46.43,0.754,0.415
14,1.0917346126892988,1.1686,43.25,0.751,0.414,1.1817,39.29,0.745,0.38
15,1.123427804778604,1.295,36.9,0.732,0.343,1.3147,32.5,0.73,0.3
16,1.1376828691538643,1.1379,48.02,0.757,0.491,1.1533,40.71,0.741,0.423
17,1.053139732164495,1.3148,40.08,0.775,0.309,1.2969,43.57,0.768,0.356
18,0.9649128984002506,1.1001,49.6,0.807,0.488,1.0345,50.71,0.825,0.502
19,0.9414934901630178,1.1793,46.03,0.794,0.4,1.1401,44.29,0.797,0.389
20,0.9113824893446529,1.1514,53.97,0.824,0.522,1.118,50.36,0.822,0.468
21,0.8956835304989534,2.0037,40.87,0.748,0.381,1.95,41.43,0.747,0.392
22,0.8618521164445316,1.4543,41.27,0.779,0.359,1.3847,43.21,0.792,0.384
23,0.8329591225175297,0.8632,64.29,0.876,0.627,0.8135,64.64,0.888,0.616
24,0.811524699716007,0.8809,63.1,0.867,0.627,0.7712,66.79,0.897,0.66
25,0.788362113868489,2.3016,41.67,0.738,0.367,2.1189,41.43,0.763,0.355
26,0.8122562941382913,2.2591,42.06,0.758,0.391,2.1604,42.5,0.76,0.404
27,0.7462813573725083,1.2559,57.54,0.839,0.569,1.1646,56.79,0.844,0.562
28,0.7285865545272827,3.3583,36.11,0.753,0.268,3.3424,36.79,0.747,0.29
29,0.8621696093503166,1.1194,56.35,0.831,0.536,0.9947,57.14,0.865,0.541
30,0.7361835942548864,0.8479,64.29,0.903,0.613,0.7421,70.0,0.925,0.676
31,0.6674285215490005,1.0954,57.54,0.844,0.525,0.9733,62.14,0.876,0.577
32,0.6762256131452673,1.1961,55.16,0.865,0.539,1.0577,57.5,0.895,0.567
33,0.6488416685777552,3.2196,34.13,0.721,0.278,2.8953,35.71,0.745,0.31
34,0.766144219566794,2.902,30.95,0.753,0.214,2.7134,34.64,0.771,0.278
35,0.7020025113049675,0.7053,74.6,0.92,0.741,0.6006,77.14,0.941,0.766
36,0.6236163903685177,2.0933,42.06,0.804,0.385,1.8784,43.21,0.82,0.418
37,0.5705384734798881,0.6821,74.6,0.923,0.735,0.6016,75.71,0.944,0.748
38,0.5371467611368965,0.9648,63.49,0.877,0.635,0.8283,66.43,0.894,0.665
39,0.5178189102341147,0.8348,65.87,0.908,0.654,0.6818,71.43,0.937,0.71
40,0.5244735847501194,0.7232,69.05,0.92,0.681,0.6114,75.36,0.948,0.745
41,0.45316077505840974,0.595,80.56,0.94,0.802,0.4718,83.93,0.964,0.839
42,0.4829133082838619,0.6141,76.59,0.938,0.76,0.527,81.43,0.955,0.812
43,0.4552703973125009,0.9724,65.48,0.894,0.645,0.8311,67.86,0.922,0.668
44,0.42439548232976126,0.6156,78.17,0.944,0.783,0.5212,78.93,0.959,0.79
45,0.41328780265415416,0.5693,78.97,0.953,0.789,0.4857,83.57,0.963,0.836
46,0.41924724158118754,0.5561,79.37,0.952,0.792,0.4916,81.79,0.961,0.818
47,0.40186068415641785,0.5463,79.37,0.95,0.793,0.4645,82.86,0.965,0.83
48,0.40705401932491975,0.5539,80.56,0.953,0.804,0.4895,81.79,0.963,0.819
49,0.4123453603071325,0.7429,69.05,0.937,0.688,0.6648,75.71,0.95,0.759
